image_number,num_medicine_boxes
1,5
2,3
3,5
4,1
5,4
6,4
7,6
8,5
9,6
10,3
11,3
12,5
13,4
14,4
15,2
16,4
17,3
18,4
19,3
20,5
21,4
22,6
23,3
24,2
25,1
26,3
27,7
28,2
29,4
30,4
31,5
32,3
33,8
34,4
35,3
36,4
37,11
38,8
39,2
40,4
41,6
42,9
43,10
44,10
45,6
46,3
47,2
48,8
49,6
50,3
51,5
52,4
53,5
54,5
55,6
56,7
57,11
58,7
59,1
60,12
61,6
62,7
63,2
64,7
65,7
66,1
67,12
68,4
69,12
70,9
71,10
72,6
73,11
74,3
75,18
76,2
77,15
78,16
79,12
80,12
81,10
82,9
83,10
84,6
85,6
86,6
87,2
88,2
89,3
90,4
91,5
92,4
93,6
94,7
95,7
96,2
97,6
98,5
99,7
100,6
101,7
102,7
103,6
104,2
105,9
106,7
107,4
108,3
109,2
110,3
111,3
112,4
113,4
114,4
115,4
116,4
117,4
118,1
119,1
120,5
121,5
122,7
123,4
124,2
125,6
126,4
127,6
128,8
129,7
130,6
131,2
132,5
133,5
134,8
135,14
136,10
137,1
138,2
139,3
140,4
141,3
142,6
143,5
144,5
145,5
146,6
147,8
148,6
149,3
150,5
151,4
152,4
153,2
154,5
155,5
156,7
157,6
158,7
159,4
160,4
161,4
162,6
163,5
164,2
165,6
166,10
167,6
168,7
169,2
170,4
171,5
172,2
173,6
174,3
175,6
176,8
177,8
178,3
179,6
180,9
181,8
182,5
183,4
184,4
185,3
186,4
187,6
188,4
189,5
190,4
191,4
192,4
193,4
194,11
195,6
196,3
197,4
198,7
199,11
200,6
