Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Unnamed: 7,Quantity,Purchase_Date,Manufacturing_Date,Expiry_Date,Remainder_Time,Frequency,Remaining_Stock,Status,Reminder_Time
Acetocillin,Antidiabetic,Cream,938 mg,Roche Holding AG,Virus,Over-the-Counter,,90,2026-04-18,2025-11-12,2027-11-12,,Once Daily,67,Active,09:00 PM
Ibuprocillin,Antiviral,Injection,337 mg,CSL Limited,Infection,Over-the-Counter,,30,2026-03-13,2025-10-08,2027-10-08,,Three Times Daily,2,Active,09:00 AM
Dextrophen,Antibiotic,Ointment,333 mg,Johnson & Johnson,Wound,Prescription,,90,2025-10-18,2025-08-30,2027-08-30,,Once Daily,57,Active,08:00 AM
Clarinazole,Antifungal,Syrup,362 mg,AbbVie Inc.,Pain,Prescription,,60,2026-02-28,2025-11-01,2027-11-01,,Once Daily,44,Active,09:00 PM
Amoxicillin,Antifungal,Tablet,802 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,,30,2026-05-09,2026-03-09,2028-03-08,,Weekly,5,Completed,01:00 PM
Ibupromycin,Antibiotic,Injection,140 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription,,30,2025-11-12,2025-05-16,2027-05-16,,Twice Daily,5,Active,08:00 AM
Metovir,Antipyretic,Ointment,641 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,,60,2026-07-06,2026-04-11,2028-04-10,,Weekly,39,Completed,08:00 AM
Ibuprovir,Antidepressant,Syrup,758 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,60,2026-02-02,2026-01-03,2028-01-03,,Three Times Daily,27,Active,09:00 PM
Cefcillin,Antipyretic,Tablet,954 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,,120,2026-05-15,2026-04-13,2028-04-12,,Twice Daily,40,Completed,08:00 AM
Acetomycin,Analgesic,Inhaler,838 mg,Novo Nordisk A/S,Wound,Prescription,,120,2026-08-01,2026-06-04,2028-06-03,,Three Times Daily,7,Active,09:00 PM
Ibuprocillin,Antifungal,Ointment,422 mg,AbbVie Inc.,Wound,Prescription,,15,2025-10-10,2025-05-30,2027-05-30,,Once Daily,6,Active,01:00 PM
Acetonazole,Antipyretic,Ointment,575 mg,Bayer AG,Wound,Prescription,,90,2026-04-09,2026-02-03,2028-02-03,,Three Times Daily,71,Completed,08:00 AM
Dolocillin,Antiviral,Ointment,451 mg,Novo Nordisk A/S,Diabetes,Prescription,,15,2025-09-18,2025-06-24,2027-06-24,,Twice Daily,5,Active,06:00 PM
Cefmet,Antifungal,Tablet,440 mg,AstraZeneca plc,Depression,Prescription,,60,2026-06-16,2026-01-06,2028-01-06,,Weekly,32,Active,01:00 PM
Dolophen,Antibiotic,Capsule,469 mg,Johnson & Johnson,Depression,Prescription,,15,2025-09-28,2025-06-14,2027-06-14,,Three Times Daily,9,Completed,01:00 PM
Ibupronazole,Analgesic,Injection,720 mg,Novartis AG,Fungus,Prescription,,120,2025-08-16,2025-06-17,2027-06-17,,Once Daily,54,Completed,01:00 PM
Amoxiprofen,Antiviral,Ointment,861 mg,Novo Nordisk A/S,Diabetes,Prescription,,15,2026-02-25,2025-10-20,2027-10-20,,Three Times Daily,13,Completed,08:00 AM
Acetomycin,Antiviral,Drops,978 mg,Roche Holding AG,Virus,Over-the-Counter,,60,2026-04-01,2025-11-29,2027-11-29,,Once Daily,40,Completed,09:00 AM
Amoxistatin,Antiviral,Inhaler,46 mg,Sanofi S.A.,Fever,Over-the-Counter,,15,2025-12-03,2025-09-06,2027-09-06,,Once Daily,7,Completed,01:00 PM
Dextrocillin,Antidiabetic,Inhaler,392 mg,Sanofi S.A.,Pain,Over-the-Counter,,15,2026-07-06,2026-06-01,2028-05-31,,Three Times Daily,6,Completed,06:00 PM
Metovir,Antifungal,Injection,124 mg,"Merck & Co., Inc.",Diabetes,Prescription,,60,2025-12-03,2025-07-19,2027-07-19,,Three Times Daily,26,Active,08:00 AM
Cefmet,Analgesic,Cream,649 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter,,60,2025-12-20,2025-09-07,2027-09-07,,Twice Daily,56,Completed,09:00 PM
Clariphen,Antidiabetic,Syrup,300 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,,120,2026-07-28,2026-02-21,2028-02-21,,Twice Daily,2,Completed,06:00 PM
Ibuprocillin,Antibiotic,Inhaler,86 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,,30,2025-11-11,2025-07-19,2027-07-19,,Twice Daily,23,Active,08:00 AM
Dolomet,Antifungal,Drops,335 mg,Amgen Inc.,Diabetes,Prescription,,60,2026-04-25,2025-12-27,2027-12-27,,Weekly,33,Active,08:00 AM
Acetoprofen,Antibiotic,Inhaler,909 mg,CSL Limited,Fever,Prescription,,30,2025-11-12,2025-06-23,2027-06-23,,Once Daily,18,Completed,08:00 AM
Amoximet,Analgesic,Ointment,795 mg,"Gilead Sciences, Inc.",Pain,Prescription,,30,2026-06-04,2026-01-22,2028-01-22,,Once Daily,29,Completed,06:00 PM
